"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"março 2006";"Pernambuco";"3.24 Metalurgia";"-"
"março 2006";"Bahia";"3.24 Metalurgia";"126,2"
"abril 2006";"Ceará";"3.24 Metalurgia";"-"
"abril 2006";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2006";"Bahia";"3.24 Metalurgia";"135,6"
"maio 2006";"Ceará";"3.24 Metalurgia";"-"
"maio 2006";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2006";"Bahia";"3.24 Metalurgia";"139,0"
"junho 2006";"Ceará";"3.24 Metalurgia";"-"
"junho 2006";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2006";"Bahia";"3.24 Metalurgia";"123,6"
"julho 2006";"Ceará";"3.24 Metalurgia";"-"
"julho 2006";"Pernambuco";"3.24 Metalurgia";"-"
"julho 2006";"Bahia";"3.24 Metalurgia";"138,3"
"agosto 2006";"Ceará";"3.24 Metalurgia";"-"
"agosto 2006";"Pernambuco";"3.24 Metalurgia";"-"
"agosto 2006";"Bahia";"3.24 Metalurgia";"132,9"
"setembro 2006";"Ceará";"3.24 Metalurgia";"-"
"setembro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"setembro 2006";"Bahia";"3.24 Metalurgia";"134,6"
"outubro 2006";"Ceará";"3.24 Metalurgia";"-"
"outubro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"outubro 2006";"Bahia";"3.24 Metalurgia";"137,4"
"novembro 2006";"Ceará";"3.24 Metalurgia";"-"
"novembro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"novembro 2006";"Bahia";"3.24 Metalurgia";"133,0"
"dezembro 2006";"Ceará";"3.24 Metalurgia";"-"
"dezembro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"dezembro 2006";"Bahia";"3.24 Metalurgia";"131,2"
"janeiro 2007";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2007";"Bahia";"3.24 Metalurgia";"135,3"
"fevereiro 2007";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2007";"Bahia";"3.24 Metalurgia";"119,0"
"março 2007";"Ceará";"3.24 Metalurgia";"-"
"março 2007";"Pernambuco";"3.24 Metalurgia";"-"
"março 2007";"Bahia";"3.24 Metalurgia";"119,4"
"abril 2007";"Ceará";"3.24 Metalurgia";"-"
"abril 2007";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2007";"Bahia";"3.24 Metalurgia";"130,4"
"maio 2007";"Ceará";"3.24 Metalurgia";"-"
"maio 2007";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2007";"Bahia";"3.24 Metalurgia";"139,2"
"junho 2007";"Ceará";"3.24 Metalurgia";"-"
"junho 2007";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2007";"Bahia";"3.24 Metalurgia";"129,3"
"julho 2007";"Ceará";"3.24 Metalurgia";"-"
"julho 2007";"Pernambuco";"3.24 Metalurgia";"-"
"julho 2007";"Bahia";"3.24 Metalurgia";"141,2"
"agosto 2007";"Ceará";"3.24 Metalurgia";"-"
"agosto 2007";"Pernambuco";"3.24 Metalurgia";"-"
"agosto 2007";"Bahia";"3.24 Metalurgia";"140,4"
"setembro 2007";"Ceará";"3.24 Metalurgia";"-"
"setembro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"setembro 2007";"Bahia";"3.24 Metalurgia";"132,6"
"outubro 2007";"Ceará";"3.24 Metalurgia";"-"
"outubro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"outubro 2007";"Bahia";"3.24 Metalurgia";"139,6"
"novembro 2007";"Ceará";"3.24 Metalurgia";"-"
"novembro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"novembro 2007";"Bahia";"3.24 Metalurgia";"126,7"
"dezembro 2007";"Ceará";"3.24 Metalurgia";"-"
"dezembro 2007";"Pernambuco";"3.24 Metalurgia";"-"
"dezembro 2007";"Bahia";"3.24 Metalurgia";"128,8"
"janeiro 2008";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2008";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2008";"Bahia";"3.24 Metalurgia";"141,1"
"fevereiro 2008";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2008";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2008";"Bahia";"3.24 Metalurgia";"125,6"
"março 2008";"Ceará";"3.24 Metalurgia";"-"
"março 2008";"Pernambuco";"3.24 Metalurgia";"-"
"março 2008";"Bahia";"3.24 Metalurgia";"137,9"
"abril 2008";"Ceará";"3.24 Metalurgia";"-"
"abril 2008";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2008";"Bahia";"3.24 Metalurgia";"134,3"
"maio 2008";"Ceará";"3.24 Metalurgia";"-"
"maio 2008";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2008";"Bahia";"3.24 Metalurgia";"137,0"
"junho 2008";"Ceará";"3.24 Metalurgia";"-"
"junho 2008";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2008";"Bahia";"3.24 Metalurgia";"140,3"
"julho 2008";"Ceará";"3.24 Metalurgia";"-"
