"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"maio 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2006";"Bahia";"2 Indústrias extrativas";"100,8"
"junho 2006";"Ceará";"2 Indústrias extrativas";"-"
"junho 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2006";"Bahia";"2 Indústrias extrativas";"93,3"
"julho 2006";"Ceará";"2 Indústrias extrativas";"-"
"julho 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2006";"Bahia";"2 Indústrias extrativas";"95,7"
"agosto 2006";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2006";"Bahia";"2 Indústrias extrativas";"97,8"
"setembro 2006";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2006";"Bahia";"2 Indústrias extrativas";"93,7"
"outubro 2006";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2006";"Bahia";"2 Indústrias extrativas";"100,7"
"novembro 2006";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2006";"Bahia";"2 Indústrias extrativas";"97,6"
"dezembro 2006";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2006";"Bahia";"2 Indústrias extrativas";"94,4"
"janeiro 2007";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2007";"Bahia";"2 Indústrias extrativas";"95,2"
"fevereiro 2007";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2007";"Bahia";"2 Indústrias extrativas";"84,4"
"março 2007";"Ceará";"2 Indústrias extrativas";"-"
"março 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2007";"Bahia";"2 Indústrias extrativas";"98,7"
"abril 2007";"Ceará";"2 Indústrias extrativas";"-"
"abril 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2007";"Bahia";"2 Indústrias extrativas";"97,1"
"maio 2007";"Ceará";"2 Indústrias extrativas";"-"
"maio 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2007";"Bahia";"2 Indústrias extrativas";"98,1"
"junho 2007";"Ceará";"2 Indústrias extrativas";"-"
"junho 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2007";"Bahia";"2 Indústrias extrativas";"96,5"
"julho 2007";"Ceará";"2 Indústrias extrativas";"-"
"julho 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2007";"Bahia";"2 Indústrias extrativas";"99,1"
"agosto 2007";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2007";"Bahia";"2 Indústrias extrativas";"99,5"
"setembro 2007";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2007";"Bahia";"2 Indústrias extrativas";"94,9"
"outubro 2007";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2007";"Bahia";"2 Indústrias extrativas";"101,0"
"novembro 2007";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2007";"Bahia";"2 Indústrias extrativas";"99,8"
"dezembro 2007";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2007";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2007";"Bahia";"2 Indústrias extrativas";"101,7"
"janeiro 2008";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2008";"Bahia";"2 Indústrias extrativas";"98,1"
"fevereiro 2008";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2008";"Bahia";"2 Indústrias extrativas";"93,5"
"março 2008";"Ceará";"2 Indústrias extrativas";"-"
"março 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2008";"Bahia";"2 Indústrias extrativas";"96,6"
"abril 2008";"Ceará";"2 Indústrias extrativas";"-"
"abril 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2008";"Bahia";"2 Indústrias extrativas";"93,9"
"maio 2008";"Ceará";"2 Indústrias extrativas";"-"
"maio 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2008";"Bahia";"2 Indústrias extrativas";"97,1"
"junho 2008";"Ceará";"2 Indústrias extrativas";"-"
"junho 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2008";"Bahia";"2 Indústrias extrativas";"97,2"
"julho 2008";"Ceará";"2 Indústrias extrativas";"-"
"julho 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2008";"Bahia";"2 Indústrias extrativas";"100,5"
"agosto 2008";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2008";"Bahia";"2 Indústrias extrativas";"101,5"
"setembro 2008";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2008";"Bahia";"2 Indústrias extrativas";"99,9"
"outubro 2008";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2008";"Bahia";"2 Indústrias extrativas";"102,6"
"novembro 2008";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2008";"Bahia";"2 Indústrias extrativas";"99,2"
"dezembro 2008";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2008";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2008";"Bahia";"2 Indústrias extrativas";"105,1"
"janeiro 2009";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2009";"Bahia";"2 Indústrias extrativas";"95,0"
"fevereiro 2009";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2009";"Bahia";"2 Indústrias extrativas";"86,0"
"março 2009";"Ceará";"2 Indústrias extrativas";"-"
"março 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2009";"Bahia";"2 Indústrias extrativas";"93,7"
"abril 2009";"Ceará";"2 Indústrias extrativas";"-"
"abril 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2009";"Bahia";"2 Indústrias extrativas";"88,1"
"maio 2009";"Ceará";"2 Indústrias extrativas";"-"
"maio 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2009";"Bahia";"2 Indústrias extrativas";"89,4"
"junho 2009";"Ceará";"2 Indústrias extrativas";"-"
"junho 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2009";"Bahia";"2 Indústrias extrativas";"91,7"
"julho 2009";"Ceará";"2 Indústrias extrativas";"-"
"julho 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2009";"Bahia";"2 Indústrias extrativas";"101,3"
"agosto 2009";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2009";"Bahia";"2 Indústrias extrativas";"99,3"
"setembro 2009";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2009";"Bahia";"2 Indústrias extrativas";"95,9"
"outubro 2009";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2009";"Bahia";"2 Indústrias extrativas";"101,2"
"novembro 2009";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2009";"Bahia";"2 Indústrias extrativas";"95,4"
"dezembro 2009";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2009";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2009";"Bahia";"2 Indústrias extrativas";"100,9"
"janeiro 2010";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2010";"Bahia";"2 Indústrias extrativas";"95,1"
"fevereiro 2010";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2010";"Bahia";"2 Indústrias extrativas";"86,5"
"março 2010";"Ceará";"2 Indústrias extrativas";"-"
"março 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2010";"Bahia";"2 Indústrias extrativas";"105,1"
"abril 2010";"Ceará";"2 Indústrias extrativas";"-"
"abril 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2010";"Bahia";"2 Indústrias extrativas";"97,7"
"maio 2010";"Ceará";"2 Indústrias extrativas";"-"
"maio 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2010";"Bahia";"2 Indústrias extrativas";"103,9"
"junho 2010";"Ceará";"2 Indústrias extrativas";"-"
"junho 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2010";"Bahia";"2 Indústrias extrativas";"98,1"
"julho 2010";"Ceará";"2 Indústrias extrativas";"-"
"julho 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2010";"Bahia";"2 Indústrias extrativas";"102,6"
"agosto 2010";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2010";"Bahia";"2 Indústrias extrativas";"111,3"
"setembro 2010";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2010";"Bahia";"2 Indústrias extrativas";"105,1"
"outubro 2010";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2010";"Bahia";"2 Indústrias extrativas";"108,8"
"novembro 2010";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2010";"Bahia";"2 Indústrias extrativas";"105,9"
"dezembro 2010";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2010";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2010";"Bahia";"2 Indústrias extrativas";"105,2"
"janeiro 2011";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2011";"Bahia";"2 Indústrias extrativas";"106,2"
"fevereiro 2011";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2011";"Bahia";"2 Indústrias extrativas";"95,2"
"março 2011";"Ceará";"2 Indústrias extrativas";"-"
"março 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2011";"Bahia";"2 Indústrias extrativas";"102,5"
"abril 2011";"Ceará";"2 Indústrias extrativas";"-"
"abril 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2011";"Bahia";"2 Indústrias extrativas";"96,0"
"maio 2011";"Ceará";"2 Indústrias extrativas";"-"
"maio 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2011";"Bahia";"2 Indústrias extrativas";"105,4"
"junho 2011";"Ceará";"2 Indústrias extrativas";"-"
"junho 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2011";"Bahia";"2 Indústrias extrativas";"100,6"
"julho 2011";"Ceará";"2 Indústrias extrativas";"-"
"julho 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2011";"Bahia";"2 Indústrias extrativas";"101,8"
"agosto 2011";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2011";"Bahia";"2 Indústrias extrativas";"101,5"
"setembro 2011";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2011";"Bahia";"2 Indústrias extrativas";"97,8"
"outubro 2011";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2011";"Bahia";"2 Indústrias extrativas";"97,6"
"novembro 2011";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2011";"Bahia";"2 Indústrias extrativas";"96,4"
"dezembro 2011";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2011";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2011";"Bahia";"2 Indústrias extrativas";"96,1"
"janeiro 2012";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2012";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2012";"Bahia";"2 Indústrias extrativas";"98,2"
"fevereiro 2012";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2012";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2012";"Bahia";"2 Indústrias extrativas";"91,3"
"março 2012";"Ceará";"2 Indústrias extrativas";"-"
"março 2012";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2012";"Bahia";"2 Indústrias extrativas";"97,5"
"abril 2012";"Ceará";"2 Indústrias extrativas";"-"
"abril 2012";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2012";"Bahia";"2 Indústrias extrativas";"94,5"
