"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"junho 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"94,2"
"julho 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"97,5"
"julho 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"56,1"
"julho 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"94,2"
"agosto 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"91,8"
"agosto 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"71,2"
"agosto 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"100,4"
"setembro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"100,2"
"setembro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"111,5"
"setembro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"84,5"
"outubro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"96,4"
"outubro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"133,4"
"outubro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"85,3"
"novembro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"100,0"
"novembro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"131,8"
"novembro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"94,1"
"dezembro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"102,8"
"dezembro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"129,0"
"dezembro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"92,4"
"janeiro 2005";"Ceará";"3.10 Fabricação de produtos alimentícios";"93,0"
"janeiro 2005";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"125,2"
"janeiro 2005";"Bahia";"3.10 Fabricação de produtos alimentícios";"82,2"
"fevereiro 2005";"Ceará";"3.10 Fabricação de produtos alimentícios";"76,9"
"fevereiro 2005";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"79,8"
"fevereiro 2005";"Bahia";"3.10 Fabricação de produtos alimentícios";"58,5"
"março 2005";"Ceará";"3.10 Fabricação de produtos alimentícios";"105,2"
"março 2005";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"61,2"
"março 2005";"Bahia";"3.10 Fabricação de produtos alimentícios";"77,1"
"abril 2005";"Ceará";"3.10 Fabricação de produtos alimentícios";"98,8"
"abril 2005";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"54,7"
"abril 2005";"Bahia";"3.10 Fabricação de produtos alimentícios";"97,2"
"maio 2005";"Ceará";"3.10 Fabricação de produtos alimentícios";"99,7"
"maio 2005";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"50,0"
